Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Stand Up Paddleboarding,2024-04-27 08:17:24,false,"Santa Barbara Stand Up Paddleboarding","1.40","225","00:18:23","178","191","3.9","13:10","8:38","0.0","875","62.6","No","00:06:46.6","2","69.8","00:15:01","00:18:23"
Stand Up Paddleboarding,2024-04-22 17:46:16,false,"Santa Barbara Stand Up Paddleboarding","7.69","535","01:32:05","124","166","2.2","11:59","7:27","0.0","3346","62.6","No","00:09:54.5","8","75.2","01:08:37","01:32:05"
Stand Up Paddleboarding,2024-04-20 07:00:18,false,"Santa Barbara Stand Up Paddleboarding","10.23","662","01:53:33","127","154","1.9","11:06","7:52","0.0","4839","66.2","No","00:03:56.4","11","75.2","01:24:57","01:53:33"
Stand Up Paddleboarding,2024-04-19 17:07:16,false,"Santa Barbara Stand Up Paddleboarding","3.68","493","00:53:14","150","178","3.7","14:29","6:51","0.0","2193","60.8","No","00:11:46","4","71.6","00:39:33","00:53:14"
Stand Up Paddleboarding,2024-04-17 17:47:36,false,"Santa Barbara Stand Up Paddleboarding","5.52","512","01:02:27","139","172","2.9","11:19","8:12","0.0","2518","62.6","No","00:05:23.2","6","73.4","00:46:17","01:02:27"
Stand Up Paddleboarding,2024-04-15 17:50:05,false,"Santa Barbara Stand Up Paddleboarding","6.95","624","01:24:04","140","180","3.6","12:06","7:45","0.0","2962","60.8","No","00:09:34.7","7","71.6","01:02:11","01:24:04"
Stand Up Paddleboarding,2024-04-08 18:03:52,false,"Santa Barbara Stand Up Paddleboarding","6.57","511","01:28:17","123","160","2.1","13:27","8:15","0.0","3156","60.8","No","00:07:40.8","7","69.8","01:02:00","01:28:17"
Stand Up Paddleboarding,2024-04-06 07:07:22,false,"Santa Barbara Stand Up Paddleboarding","8.51","739","01:39:08","138","177","3.3","11:39","8:04","0.0","4130","53.6","No","00:06:16.6","9","71.6","01:16:24","01:39:08"
Stand Up Paddleboarding,2024-04-03 17:53:01,false,"Santa Barbara Stand Up Paddleboarding","6.32","629","01:23:16","139","178","3.1","13:10","7:37","0.0","2778","60.8","No","00:04:56.1","7","73.4","01:02:45","01:23:16"
Stand Up Paddleboarding,2024-04-01 17:44:12,false,"Santa Barbara Stand Up Paddleboarding","7.36","639","01:26:58","139","176","3.5","11:49","6:58","0.0","3126","59.0","No","00:08:15.4","8","77.0","01:06:31","01:26:58"
Stand Up Paddleboarding,2024-03-30 09:07:21,false,"Santa Barbara Stand Up Paddleboarding","8.73","769","01:44:51","141","178","3.6","12:01","7:34","0.0","4299","55.4","No","00:08:40.7","9","73.4","01:19:28","01:44:51"
Stand Up Paddleboarding,2024-03-27 17:47:34,false,"Santa Barbara Stand Up Paddleboarding","6.82","763","01:28:37","153","183","4.1","13:00","7:33","0.0","3031","57.2","No","00:10:52","7","75.2","01:02:03","01:28:37"
Stand Up Paddleboarding,2024-03-23 07:01:40,false,"Santa Barbara Stand Up Paddleboarding","8.48","698","01:48:12","130","156","2.6","12:45","8:35","0.0","4124","59.0","No","00:09:08.8","9","78.8","01:15:16","01:48:12"
Stand Up Paddleboarding,2024-03-20 17:47:50,false,"Santa Barbara Stand Up Paddleboarding","6.18","647","01:25:32","141","178","3.3","13:50","7:44","0.0","2692","60.8","No","00:04:04.8","7","73.4","00:59:50","01:50:02"
Stand Up Paddleboarding,2024-03-18 18:34:29,false,"Santa Barbara Stand Up Paddleboarding","3.25","302","00:47:47","125","175","2.2","14:42","8:22","0.0","1544","64.4","No","00:07:49.7","4","68.0","00:30:31","00:47:47"
Stand Up Paddleboarding,2024-03-16 09:11:33,false,"Santa Barbara Stand Up Paddleboarding","8.36","684","01:53:43","128","165","3.1","13:36","8:03","0.0","3504","60.8","No","00:08:02.1","9","69.8","01:17:21","01:53:43"
Stand Up Paddleboarding,2024-03-13 17:46:29,false,"Santa Barbara Stand Up Paddleboarding","5.10","452","01:08:44","129","160","2.5","13:29","8:55","0.0","2502","59.0","No","00:02:38.9","6","77.0","00:49:43","01:08:44"
Stand Up Paddleboarding,2024-03-11 17:57:37,false,"Santa Barbara Stand Up Paddleboarding","6.17","628","01:29:54","134","160","2.6","14:34","7:22","0.0","2507","57.2","No","00:09:02.8","7","68.0","00:58:49","01:29:54"
Stand Up Paddleboarding,2024-02-17 08:03:00,false,"Santa Barbara Stand Up Paddleboarding","10.34","956","02:01:55","145","174","3.4","11:48","7:45","0.0","4465","60.8","No","00:06:10.4","11","73.4","01:30:23","02:01:55"
Stand Up Paddleboarding,2024-02-13 06:22:29,false,"Santa Barbara Stand Up Paddleboarding","3.15","429","00:44:41","149","172","3.4","14:11","9:16","0.0","1805","59.0","No","00:02:22.3","4","77.0","00:33:54","00:44:41"
Stand Up Paddleboarding,2024-02-11 16:13:15,false,"Santa Barbara oc2","3.83","456","00:54:56","139","169","2.8","14:21","9:43","0.0","2019","60.8","No","00:11:52","4","73.4","00:39:40","00:54:56"
Stand Up Paddleboarding,2024-01-29 06:07:12,false,"Santa Barbara Stand Up Paddleboarding","4.86","603","01:10:10","146","173","3.6","14:26","9:05","0.0","2642","59.0","No","00:12:05","5","68.0","00:53:35","01:10:10"
Stand Up Paddleboarding,2024-01-25 06:25:08,false,"Santa Barbara Stand Up Paddleboarding","4.61","577","01:06:53","150","173","3.7","14:31","10:42","0.0","2641","64.4","No","00:11:50","5","78.8","00:48:12","01:06:53"
Stand Up Paddleboarding,2024-01-17 06:35:16,false,"Santa Barbara Stand Up Paddleboarding","1.59","213","00:26:28","137","160","2.4","16:38","10:10","0.0","950","64.4","No","00:12:08","2","69.8","00:16:51","00:26:28"
Stand Up Paddleboarding,2024-01-15 09:56:18,false,"Santa Barbara Stand Up Paddleboarding","4.14","518","00:56:56","149","167","3.4","13:44","10:20","0.0","2341","64.4","No","00:01:49.5","5","71.6","00:40:03","00:56:56"
Stand Up Paddleboarding,2024-01-13 08:47:13,false,"Santa Barbara oc1 - RTP","5.26","843","01:14:12","174","192","5.0","14:06","8:31","0.0","3425","60.8","No","00:00:03.2","7","80.6","00:52:56","01:14:12"
Stand Up Paddleboarding,2024-01-09 06:22:57,false,"Santa Barbara Stand Up Paddleboarding","4.30","578","01:01:32","155","174","4.4","14:18","5:16","0.0","2458","57.2","No","00:06:00.0","5","75.2","00:45:25","01:01:32"
